lat,lon,origen,peso_pico,tipo
-37.943,-57.795,Interno (Captura Propia),2,Video
-37.941,-57.794,Interno (Captura Propia),7,Video
-37.941,-57.793,Interno (Captura Propia),2,Video
-37.941,-57.792,Interno (Captura Propia),2,Video
-37.941,-57.791,Interno (Captura Propia),1,Video
-37.941,-57.789,Interno (Captura Propia),3,Video
-37.941,-57.788,Interno (Captura Propia),17,Imagen
-37.94,-57.803,Interno (Captura Propia),2,Video
-37.94,-57.796,Interno (Captura Propia),3,Imagen
-37.94,-57.795,Interno (Captura Propia),11,Imagen
-37.94,-57.791,Interno (Captura Propia),1,Imagen
-37.94,-57.788,Interno (Captura Propia),1,Imagen
-37.94,-57.787,Interno (Captura Propia),1,Imagen
-37.939,-57.805,Interno (Captura Propia),1,Video
-37.939,-57.804,Interno (Captura Propia),9,Video
-37.939,-57.803,Interno (Captura Propia),53,Video
-37.939,-57.789,Interno (Captura Propia),2,Imagen
-37.939,-57.788,Interno (Captura Propia),1,Imagen
-37.938,-57.804,Interno (Captura Propia),4,Video
-37.938,-57.803,Interno (Captura Propia),18,Imagen
-37.923,-57.802,Interno (Captura Propia),4,Video
-37.915,-57.806,Interno (Captura Propia),1,Video
-37.913,-57.806,Interno (Captura Propia),1,Video
-37.911,-57.808,Interno (Captura Propia),1,Video
-37.904,-57.812,Interno (Captura Propia),2,Video
-37.874,-58.065,Interno (Captura Propia),3,Video
-37.874,-58.063,Interno (Captura Propia),1,Video
-37.874,-58.06,Interno (Captura Propia),1,Video
-37.874,-58.057,Interno (Captura Propia),1,Video
-37.874,-58.032,Interno (Captura Propia),4,Video
-37.873,-58.031,Interno (Captura Propia),83,Video
-37.873,-58.03,Interno (Captura Propia),6,Video
-37.87,-58.027,Interno (Captura Propia),8,Video
-37.868,-58.025,Interno (Captura Propia),1,Video
-37.868,-58.024,Interno (Captura Propia),2,Video
-37.868,-58.023,Interno (Captura Propia),1,Video
-37.867,-58.024,Interno (Captura Propia),1,Video
-37.867,-58.021,Interno (Captura Propia),22,Video
-37.866,-58.02,Interno (Captura Propia),3,Video
-37.865,-58.02,Interno (Captura Propia),2,Video
-37.862,-58.019,Interno (Captura Propia),10,Video
-37.166,-56.904,Interno (Captura Propia),1,Imagen
-37.111,-56.883,Interno (Captura Propia),3,Video
-37.111,-56.872,Interno (Captura Propia),8,Video
-37.105,-56.844,Interno (Captura Propia),2,Video
-37.104,-56.844,Interno (Captura Propia),1,Video
-37.082,-56.829,Interno (Captura Propia),6,Imagen
-36.675,-57.257,Interno (Captura Propia),1,Imagen
-36.307,-57.629,Interno (Captura Propia),1,Imagen
-35.878,-57.895,Interno (Captura Propia),5,Video
-35.877,-57.894,Interno (Captura Propia),3,Video
-35.0,-58.026,Interno (Captura Propia),2,Video
-34.938,-57.963,Interno (Captura Propia),6,Imagen
-34.929,-57.97,Interno (Captura Propia),6,Video
-34.916,-57.949,Interno (Captura Propia),1,Video
-34.915,-57.945,Interno (Captura Propia),2,Video
-34.914,-58.018,Interno (Captura Propia),10,Imagen
-34.913,-58.017,Interno (Captura Propia),1,Imagen
-34.912,-57.94,Interno (Captura Propia),3,Video
-34.911,-57.939,Interno (Captura Propia),2,Imagen
-34.895,-58.014,Interno (Captura Propia),1,Video
-34.894,-58.014,Interno (Captura Propia),3,Imagen
-34.893,-58.048,Interno (Captura Propia),40,Video
-34.891,-58.065,Interno (Captura Propia),12,Imagen
-34.872,-58.094,Interno (Captura Propia),4,Video
-34.87,-58.042,Interno (Captura Propia),40,Video
-34.87,-58.041,Interno (Captura Propia),36,Video
-34.869,-58.045,Interno (Captura Propia),4,Imagen
-34.869,-58.044,Interno (Captura Propia),2,Video
-34.867,-58.095,Interno (Captura Propia),1,Video
-34.867,-58.043,Interno (Captura Propia),1,Imagen
-34.862,-58.095,Interno (Captura Propia),2,Video
-34.81,-58.158,Interno (Captura Propia),3,Imagen
-34.775,-58.164,Interno (Captura Propia),2,Imagen
-34.644,-58.558,Interno (Captura Propia),3,Video
-34.641,-58.402,Interno (Captura Propia),1,Imagen
-34.624,-58.453,Interno (Captura Propia),8,Video
-34.624,-58.365,Interno (Captura Propia),1,Video
-34.623,-58.369,Interno (Captura Propia),1,Video
-34.616,-58.401,Interno (Captura Propia),5,Video
-34.612,-58.41,Interno (Captura Propia),14,Video
-34.606,-58.374,Interno (Captura Propia),7,Video
-34.603,-58.455,Interno (Captura Propia),1,Video
-34.603,-58.375,Interno (Captura Propia),1,Video
-34.602,-58.455,Interno (Captura Propia),1,Video
-34.602,-58.39,Interno (Captura Propia),1,Video
-34.601,-58.391,Interno (Captura Propia),5,Video
-34.601,-58.383,Interno (Captura Propia),2,Video
-34.601,-58.382,Interno (Captura Propia),1,Video
-34.6,-58.392,Interno (Captura Propia),2,Video
-34.6,-58.391,Interno (Captura Propia),291,Video
-34.6,-58.387,Interno (Captura Propia),1,Video
-34.6,-58.386,Interno (Captura Propia),4,Video
-34.6,-58.367,Interno (Captura Propia),1,Video
-34.599,-58.39,Interno (Captura Propia),1,Video
-34.599,-58.389,Interno (Captura Propia),1,Video
-34.599,-58.388,Interno (Captura Propia),1,Video
-34.599,-58.377,Interno (Captura Propia),1,Video
-34.599,-58.375,Interno (Captura Propia),2,Imagen
-34.598,-58.412,Interno (Captura Propia),1,Video
-34.598,-58.39,Interno (Captura Propia),2,Video
-34.598,-58.387,Interno (Captura Propia),1,Video
-34.598,-58.386,Interno (Captura Propia),3,Imagen
-34.598,-58.385,Interno (Captura Propia),1,Video
-34.598,-58.384,Interno (Captura Propia),1,Video
-34.598,-58.381,Interno (Captura Propia),2,Video
-34.598,-58.379,Interno (Captura Propia),7,Video
-34.598,-58.376,Interno (Captura Propia),1,Imagen
-34.597,-58.434,Interno (Captura Propia),2,Imagen
-34.597,-58.388,Interno (Captura Propia),1,Imagen
-34.597,-58.381,Interno (Captura Propia),2,Video
-34.597,-58.378,Interno (Captura Propia),8,Video
-34.597,-58.377,Interno (Captura Propia),77,Video
-34.597,-58.376,Interno (Captura Propia),11,Video
-34.596,-58.413,Interno (Captura Propia),1,Video
-34.596,-58.382,Interno (Captura Propia),2,Imagen
-34.596,-58.377,Interno (Captura Propia),1,Imagen
-34.595,-58.433,Interno (Captura Propia),1,Video
-34.595,-58.4,Interno (Captura Propia),3,Imagen
-34.595,-58.378,Interno (Captura Propia),1,Imagen
-34.595,-58.377,Interno (Captura Propia),1,Imagen
-34.594,-58.403,Interno (Captura Propia),11,Imagen
-34.594,-58.372,Interno (Captura Propia),3,Video
-34.593,-58.434,Interno (Captura Propia),2,Imagen
-34.591,-58.436,Interno (Captura Propia),3,Video
-34.591,-58.434,Interno (Captura Propia),1,Imagen
-34.591,-58.391,Interno (Captura Propia),1,Video
-34.59,-58.445,Interno (Captura Propia),2,Imagen
-34.589,-58.427,Interno (Captura Propia),1,Video
-34.589,-58.393,Interno (Captura Propia),3,Imagen
-34.589,-58.375,Interno (Captura Propia),2,Imagen
-34.588,-58.432,Interno (Captura Propia),12,Imagen
-34.588,-58.431,Interno (Captura Propia),1,Imagen
-34.587,-58.478,Interno (Captura Propia),4,Video
-34.587,-58.439,Interno (Captura Propia),2,Imagen
-34.587,-58.433,Interno (Captura Propia),3,Video
-34.584,-58.437,Interno (Captura Propia),2,Video
-34.584,-58.4,Interno (Captura Propia),16,Video
-34.583,-58.434,Interno (Captura Propia),2,Video
-34.583,-58.433,Interno (Captura Propia),2,Video
-34.582,-58.407,Interno (Captura Propia),1,Imagen
-34.58,-58.437,Interno (Captura Propia),2,Imagen
-34.58,-58.436,Interno (Captura Propia),4,Imagen
-34.579,-58.464,Interno (Captura Propia),2,Imagen
-34.578,-58.464,Interno (Captura Propia),3,Imagen
-34.577,-58.404,Interno (Captura Propia),1,Imagen
-34.574,-58.432,Interno (Captura Propia),2,Imagen
-34.573,-58.408,Interno (Captura Propia),2,Video
-34.572,-58.46,Interno (Captura Propia),6,Video
-34.572,-58.441,Interno (Captura Propia),2,Imagen
-34.572,-58.431,Interno (Captura Propia),2,Video
-34.571,-58.431,Interno (Captura Propia),1,Video
-34.57,-58.494,Interno (Captura Propia),3,Imagen
-34.568,-58.48,Interno (Captura Propia),1,Video
-34.568,-58.458,Interno (Captura Propia),3,Imagen
-34.563,-58.404,Interno (Captura Propia),2,Imagen
-34.56,-58.429,Interno (Captura Propia),2,Video
-34.559,-58.43,Interno (Captura Propia),1,Video
-34.558,-58.415,Interno (Captura Propia),4,Imagen
-34.557,-58.45,Interno (Captura Propia),3,Video
-34.557,-58.414,Interno (Captura Propia),2,Video
-34.553,-58.463,Interno (Captura Propia),1,Imagen
-34.551,-58.464,Interno (Captura Propia),3,Imagen
-34.551,-58.463,Interno (Captura Propia),5,Imagen
-34.55,-58.458,Interno (Captura Propia),1,Imagen
-34.55,-58.43,Interno (Captura Propia),1,Imagen
-34.548,-58.461,Interno (Captura Propia),1,Imagen
-34.548,-58.458,Interno (Captura Propia),13,Video
-34.547,-58.459,Interno (Captura Propia),21,Imagen
-34.547,-58.458,Interno (Captura Propia),4,Imagen
-34.547,-58.457,Interno (Captura Propia),2,Imagen
-34.546,-58.454,Interno (Captura Propia),1,Imagen
-34.545,-58.467,Interno (Captura Propia),33,Video
-34.545,-58.46,Interno (Captura Propia),15,Imagen
-34.545,-58.438,Interno (Captura Propia),1,Video
-34.544,-58.456,Interno (Captura Propia),3,Video
-34.543,-58.457,Interno (Captura Propia),3,Video
-34.541,-58.459,Interno (Captura Propia),3,Video
-34.541,-58.458,Interno (Captura Propia),26,Video
-34.538,-58.473,Interno (Captura Propia),2,Video
-34.529,-58.462,Interno (Captura Propia),7,Video
-34.525,-58.47,Interno (Captura Propia),5,Video
-34.516,-58.475,Interno (Captura Propia),3,Imagen
-34.506,-58.483,Interno (Captura Propia),6,Video
-34.442,-58.872,Interno (Captura Propia),8,Imagen
-34.438,-58.836,Interno (Captura Propia),2,Imagen
-34.43,-58.868,Interno (Captura Propia),2,Imagen
-34.418,-58.577,Interno (Captura Propia),3,Video
-34.417,-58.576,Interno (Captura Propia),20,Video
-34.417,-58.575,Interno (Captura Propia),16,Video
-33.68,-59.93,Interno (Captura Propia),1,Imagen
-33.535,-69.029,Interno (Captura Propia),1,Video
-33.534,-69.032,Interno (Captura Propia),1,Video
-33.534,-69.03,Interno (Captura Propia),1,Video
-33.469,-69.221,Interno (Captura Propia),85,Video
-33.469,-69.22,Interno (Captura Propia),1,Video
-33.458,-69.149,Interno (Captura Propia),1,Imagen
-33.336,-68.921,Interno (Captura Propia),1,Video
-33.101,-67.984,Interno (Captura Propia),1,Video
-33.1,-68.018,Interno (Captura Propia),1,Video
-33.1,-68.013,Interno (Captura Propia),1,Video
-33.1,-68.001,Interno (Captura Propia),1,Video
-33.085,-68.876,Interno (Captura Propia),1,Video
-33.084,-68.876,Interno (Captura Propia),1,Video
-33.078,-69.05,Interno (Captura Propia),1,Imagen
-33.077,-69.044,Interno (Captura Propia),1,Imagen
-33.064,-68.481,Interno (Captura Propia),1,Video
-33.062,-68.507,Interno (Captura Propia),1,Video
-33.062,-68.499,Interno (Captura Propia),1,Video
-32.973,-68.734,Interno (Captura Propia),1,Video
-32.973,-68.733,Interno (Captura Propia),2,Imagen
-32.969,-68.567,Interno (Captura Propia),4,Video
-32.968,-68.573,Interno (Captura Propia),1,Video
-32.968,-68.572,Interno (Captura Propia),1,Video
-32.968,-68.57,Interno (Captura Propia),3,Video
-32.967,-68.577,Interno (Captura Propia),58,Video
-32.967,-68.57,Interno (Captura Propia),1,Imagen
-32.966,-68.584,Interno (Captura Propia),8,Video
-32.938,-69.208,Interno (Captura Propia),6,Video
-32.937,-69.208,Interno (Captura Propia),1,Video
-32.899,-68.86,Interno (Captura Propia),14,Video
-32.899,-68.859,Interno (Captura Propia),2,Video
-32.899,-68.855,Interno (Captura Propia),2,Video
-32.896,-68.845,Interno (Captura Propia),2,Video
-32.895,-68.817,Interno (Captura Propia),21,Video
-32.895,-68.816,Interno (Captura Propia),5,Video
-32.891,-68.849,Interno (Captura Propia),2,Video
-32.89,-68.845,Interno (Captura Propia),4,Imagen
-32.888,-68.838,Interno (Captura Propia),2,Video
-32.85,-68.805,Interno (Captura Propia),2,Video
-32.828,-68.799,Interno (Captura Propia),3,Video
-32.827,-68.8,Interno (Captura Propia),4,Video
-32.824,-68.795,Interno (Captura Propia),1,Video
-32.823,-68.794,Interno (Captura Propia),1,Video
-32.595,-62.475,Interno (Captura Propia),3,Imagen
-31.488,-64.247,Interno (Captura Propia),20,Imagen
-31.487,-64.247,Interno (Captura Propia),3,Imagen
-31.487,-64.246,Interno (Captura Propia),17,Imagen
-31.487,-64.245,Interno (Captura Propia),7,Imagen
-31.464,-64.05,Interno (Captura Propia),1,Imagen
-31.463,-64.051,Interno (Captura Propia),1,Imagen
-31.424,-64.19,Interno (Captura Propia),3,Imagen
-31.416,-64.175,Interno (Captura Propia),1,Imagen
-31.398,-64.182,Interno (Captura Propia),1,Imagen
-31.289,-64.456,Interno (Captura Propia),2,Imagen
-31.288,-64.457,Interno (Captura Propia),1,Video
-31.287,-64.455,Interno (Captura Propia),3,Video
-31.286,-64.456,Interno (Captura Propia),2,Video
-31.286,-64.455,Interno (Captura Propia),1,Imagen
-31.285,-64.457,Interno (Captura Propia),1,Video
-31.285,-64.455,Interno (Captura Propia),3,Imagen
-31.284,-64.459,Interno (Captura Propia),1,Video
-31.284,-64.456,Interno (Captura Propia),9,Video
-31.284,-64.455,Interno (Captura Propia),4,Imagen
-31.283,-64.455,Interno (Captura Propia),3,Video
-31.28,-64.46,Interno (Captura Propia),1,Video
-31.28,-64.459,Interno (Captura Propia),10,Video
-31.28,-64.458,Interno (Captura Propia),13,Video
-31.28,-64.457,Interno (Captura Propia),26,Video
-31.279,-64.463,Interno (Captura Propia),85,Video
-31.279,-64.462,Interno (Captura Propia),19,Video
-31.277,-64.462,Interno (Captura Propia),3,Video
-31.275,-64.463,Interno (Captura Propia),9,Video
-31.273,-64.464,Interno (Captura Propia),1,Video
-31.272,-64.464,Interno (Captura Propia),2,Video
-31.271,-64.464,Interno (Captura Propia),19,Video
-31.269,-64.48,Interno (Captura Propia),1,Video
-31.269,-64.478,Interno (Captura Propia),1,Video
-31.221,-64.484,Interno (Captura Propia),1,Video
-31.22,-64.484,Interno (Captura Propia),1,Video
-31.219,-64.485,Interno (Captura Propia),1,Video
-31.211,-64.492,Interno (Captura Propia),1,Video
-31.207,-64.493,Interno (Captura Propia),1,Video
-31.206,-64.493,Interno (Captura Propia),1,Video
-31.194,-64.492,Interno (Captura Propia),2,Video
-31.096,-64.477,Interno (Captura Propia),7,Video
-31.095,-64.501,Interno (Captura Propia),1,Video
-31.094,-64.501,Interno (Captura Propia),27,Video
-31.092,-64.471,Interno (Captura Propia),3,Video
-31.092,-64.47,Interno (Captura Propia),2,Video
-22.969,-43.18,Interno (Captura Propia),1,Video
-22.967,-43.179,Interno (Captura Propia),4,Video
-22.966,-43.175,Interno (Captura Propia),1,Video
-22.965,-43.173,Interno (Captura Propia),1,Video
-12.552,-37.987,Interno (Captura Propia),1,Imagen
-12.551,-37.987,Interno (Captura Propia),9,Imagen
-12.55,-37.989,Interno (Captura Propia),4,Imagen
-12.55,-37.988,Interno (Captura Propia),2,Imagen
-12.549,-37.988,Interno (Captura Propia),2,Imagen
-12.549,-37.987,Interno (Captura Propia),7,Imagen
40.378,-3.743,Interno (Captura Propia),1,Video
40.415,-3.708,Interno (Captura Propia),2,Video
40.417,-3.683,Interno (Captura Propia),23,Video
40.418,-3.704,Interno (Captura Propia),6,Video
40.42,-3.705,Interno (Captura Propia),2,Video
40.42,-3.702,Interno (Captura Propia),4,Video
40.42,-3.701,Interno (Captura Propia),1,Video
40.42,-3.7,Interno (Captura Propia),16,Video
40.421,-3.709,Interno (Captura Propia),2,Video
40.421,-3.707,Interno (Captura Propia),3,Video
40.43,-3.716,Interno (Captura Propia),1,Video
40.431,-3.717,Interno (Captura Propia),1,Video
40.431,-3.716,Interno (Captura Propia),2,Video
40.464,-3.571,Interno (Captura Propia),1,Video
41.135,-8.619,Interno (Captura Propia),7,Video
41.136,-8.619,Interno (Captura Propia),4,Video
41.136,-8.618,Interno (Captura Propia),7,Video
41.138,-8.617,Interno (Captura Propia),2,Video
41.138,-8.616,Interno (Captura Propia),4,Video
41.138,-8.614,Interno (Captura Propia),2,Video
41.138,-8.609,Interno (Captura Propia),7,Video
41.139,-8.611,Interno (Captura Propia),2,Video
41.139,-8.61,Interno (Captura Propia),2,Video
41.139,-8.609,Interno (Captura Propia),1,Video
41.14,-8.616,Interno (Captura Propia),2,Video
41.14,-8.615,Interno (Captura Propia),1,Video
41.14,-8.609,Interno (Captura Propia),3,Video
41.141,-8.624,Interno (Captura Propia),1,Video
41.141,-8.623,Interno (Captura Propia),3,Video
41.141,-8.61,Interno (Captura Propia),11,Video
41.142,-8.61,Interno (Captura Propia),3,Video
41.143,-8.61,Interno (Captura Propia),2,Video
41.145,-8.616,Interno (Captura Propia),1,Video
41.145,-8.615,Interno (Captura Propia),1,Video
41.145,-8.611,Interno (Captura Propia),3,Video
41.146,-8.615,Interno (Captura Propia),1,Video
41.147,-8.615,Interno (Captura Propia),2,Video
43.77,11.255,Interno (Captura Propia),2,Video
43.77,11.256,Interno (Captura Propia),2,Video
43.771,11.252,Interno (Captura Propia),1,Video
43.771,11.254,Interno (Captura Propia),2,Video
43.771,11.255,Interno (Captura Propia),3,Video
43.772,11.251,Interno (Captura Propia),2,Video
43.772,11.252,Interno (Captura Propia),1,Video
43.776,11.249,Interno (Captura Propia),1,Video
43.776,11.258,Interno (Captura Propia),1,Video
45.464,9.192,Interno (Captura Propia),1,Video
45.464,9.194,Interno (Captura Propia),1,Video
45.466,9.172,Interno (Captura Propia),2,Video
45.516,9.222,Interno (Captura Propia),3,Video
45.516,9.223,Interno (Captura Propia),18,Video
